Beruf,ocr,OhdAB_v,O_1,Normbezeichnungen,OhdAB,OhdAB_01,OhdAB_02,OhdAB_03,OhdAB_04,OhdAB_05,OhdAB_ind,Provenienz,V3,V4,V5
Kramkäuselswitwe,,,,,,,,,,,,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Kranenfübrer,,B 52532-103,B,Kranführer/in,52532,"Verkehr, Logistik, Schutz und Sicherheit",Führer/innen von Fahrzeug- und Transportgeräten,Bau- und Transportgeräteführung,"Kranführer/innen, Aufzugsmaschinisten und Bediener/innen verwandter Hebeeinrichtungen","Kranführer/innen, Aufzugsmaschinisten und Bediener/innen verwandter Hebeeinrichtungen - fachlich ausgerichtete Tätigke",103,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Kranenführ.,,B 52532-103,B,Kranführer/in,52532,"Verkehr, Logistik, Schutz und Sicherheit",Führer/innen von Fahrzeug- und Transportgeräten,Bau- und Transportgeräteführung,"Kranführer/innen, Aufzugsmaschinisten und Bediener/innen verwandter Hebeeinrichtungen","Kranführer/innen, Aufzugsmaschinisten und Bediener/innen verwandter Hebeeinrichtungen - fachlich ausgerichtete Tätigke",103,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Kranensührer,,B 52532-103,B,Kranführer/in,52532,"Verkehr, Logistik, Schutz und Sicherheit",Führer/innen von Fahrzeug- und Transportgeräten,Bau- und Transportgeräteführung,"Kranführer/innen, Aufzugsmaschinisten und Bediener/innen verwandter Hebeeinrichtungen","Kranführer/innen, Aufzugsmaschinisten und Bediener/innen verwandter Hebeeinrichtungen - fachlich ausgerichtete Tätigke",103,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Kranken- u. Wocheubcupfleo.,,B 81302-100,B,Krankenschwester/-pfleger,81302,"Gesundheit, Soziales, Lehre und Erziehung",Medizinische Gesundheitsberufe,"Gesundheits- und Krankenpflege, Rettungsdienst und Geburtshilfe",Berufe in der Gesundheits- und Krankenpflege ohne Spezialisierung,Berufe in der Gesundheits- und Krankenpflege (ohne Spezialisierung) - fachlich ausgerichtete Tätigkeiten,100,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Krankenaufs.,,B 81302-504,B,"Krankenaufseher/in, Krankenhausaufseher/in",81302,"Gesundheit, Soziales, Lehre und Erziehung",Medizinische Gesundheitsberufe,"Gesundheits- und Krankenpflege, Rettungsdienst und Geburtshilfe",Berufe in der Gesundheits- und Krankenpflege ohne Spezialisierung,Berufe in der Gesundheits- und Krankenpflege (ohne Spezialisierung) - fachlich ausgerichtete Tätigkeiten,504,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Krankenaufseher,,B 81302-504,B,"Krankenaufseher/in, Krankenhausaufseher/in",81302,"Gesundheit, Soziales, Lehre und Erziehung",Medizinische Gesundheitsberufe,"Gesundheits- und Krankenpflege, Rettungsdienst und Geburtshilfe",Berufe in der Gesundheits- und Krankenpflege ohne Spezialisierung,Berufe in der Gesundheits- und Krankenpflege (ohne Spezialisierung) - fachlich ausgerichtete Tätigkeiten,504,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Krankenhausoberarzt  u.Spezialarzt für Haut- u. Harnkrank-heiten,,B 81494-507,B,Krankenhausoberarzt/-ärztin,81494,"Gesundheit, Soziales, Lehre und Erziehung",Medizinische Gesundheitsberufe,Human- und Zahnmedizin,Führungskräfte - Human- und Zahnmedizin,Führungskräfte - Human- und Zahnmedizin,507,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Krankenkassenvorstand,,B 73293-528,B,,73293,"Unternehmensorganisation, Buchhaltung, Recht und Verwaltung",Berufe in Recht und Verwaltung,Verwaltung,Aufsichts- und Führungskräfte - Verwaltung,Aufsichtskräfte - Verwaltung,528,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Krankenpfl.,,B 81302-100,B,Krankenschwester/-pfleger,81302,"Gesundheit, Soziales, Lehre und Erziehung",Medizinische Gesundheitsberufe,"Gesundheits- und Krankenpflege, Rettungsdienst und Geburtshilfe",Berufe in der Gesundheits- und Krankenpflege ohne Spezialisierung,Berufe in der Gesundheits- und Krankenpflege (ohne Spezialisierung) - fachlich ausgerichtete Tätigkeiten,100,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Krankenpfleger,,B 81302-100,B,Krankenschwester/-pfleger,81302,"Gesundheit, Soziales, Lehre und Erziehung",Medizinische Gesundheitsberufe,"Gesundheits- und Krankenpflege, Rettungsdienst und Geburtshilfe",Berufe in der Gesundheits- und Krankenpflege ohne Spezialisierung,Berufe in der Gesundheits- und Krankenpflege (ohne Spezialisierung) - fachlich ausgerichtete Tätigkeiten,100,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Krankenpflegerin,,B 81302-100,B,Krankenschwester/-pfleger,81302,"Gesundheit, Soziales, Lehre und Erziehung",Medizinische Gesundheitsberufe,"Gesundheits- und Krankenpflege, Rettungsdienst und Geburtshilfe",Berufe in der Gesundheits- und Krankenpflege ohne Spezialisierung,Berufe in der Gesundheits- und Krankenpflege (ohne Spezialisierung) - fachlich ausgerichtete Tätigkeiten,100,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Krankenwärterswe.,,B 81302-500,B,"Krankenwärter/in, Krankenhauswärter/in",81302,"Gesundheit, Soziales, Lehre und Erziehung",Medizinische Gesundheitsberufe,"Gesundheits- und Krankenpflege, Rettungsdienst und Geburtshilfe",Berufe in der Gesundheits- und Krankenpflege ohne Spezialisierung,Berufe in der Gesundheits- und Krankenpflege (ohne Spezialisierung) - fachlich ausgerichtete Tätigkeiten,500,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Krankenwärterswilwe,,B 81302-500,B,"Krankenwärter/in, Krankenhauswärter/in",81302,"Gesundheit, Soziales, Lehre und Erziehung",Medizinische Gesundheitsberufe,"Gesundheits- und Krankenpflege, Rettungsdienst und Geburtshilfe",Berufe in der Gesundheits- und Krankenpflege ohne Spezialisierung,Berufe in der Gesundheits- und Krankenpflege (ohne Spezialisierung) - fachlich ausgerichtete Tätigkeiten,500,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Kranteukassenvorstaud,,B 73293-528,B,,73293,"Unternehmensorganisation, Buchhaltung, Recht und Verwaltung",Berufe in Recht und Verwaltung,Verwaltung,Aufsichts- und Führungskräfte - Verwaltung,Aufsichtskräfte - Verwaltung,528,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Krantkäufelswe.,,,,,,,,,,,,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Kratzenfabrikant,,B 28122-568,B,Kratzenfabrikant/in - Arbeiter/in,28122,"Rohstoffgewinnung, Produktion und Fertigung",Textil- und Lederberufe,Textiltechnik und -produktion,Berufe in der Textilherstellung,Berufe in der Textilherstellung - fachlich ausgerichtete Tätigkeiten,568,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Krauens.,1,,,,,,,,,,,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Kräuterh.,,B 62382-528,B,Kräuterhändler/in,62382,"Kaufmännische Dienstleistungen, Warenhandel, Vertrieb, Hotel und Tourismus",Verkaufsberufe,Verkauf von Lebensmitteln,Berufe im Verkauf von Lebensmitteln sonstige spezifische Tätigkeitsangabe,Berufe im Verkauf von Lebensmitteln (sonstige spezifische Tätigkeitsangabe) - fachlich ausgerichtete Tätigkeiten,528,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Kräuterschneider,,B 11742-512,B,,11742,"Land-, Forst- und Tierwirtschaft und Gartenbau","Land-, Tier- und Forstwirtschaftsberufe","Forst- und Jagdwirtschaft, Landschaftspflege",Sammeln und Gewinnen von Pflanzen und anderen Naturprodukten,Sammeln und Gewinnen von Pflanzen und anderen Naturprodukten - fachlich ausgerichtete Tätigkeiten,512,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Kräuterschneiderswe.,,B 11742-512,B,,11742,"Land-, Forst- und Tierwirtschaft und Gartenbau","Land-, Tier- und Forstwirtschaftsberufe","Forst- und Jagdwirtschaft, Landschaftspflege",Sammeln und Gewinnen von Pflanzen und anderen Naturprodukten,Sammeln und Gewinnen von Pflanzen und anderen Naturprodukten - fachlich ausgerichtete Tätigkeiten,512,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Kravattenm.,,B 28222-525,B,Krawattenmacher/in,28222,"Rohstoffgewinnung, Produktion und Fertigung",Textil- und Lederberufe,Textilverarbeitung,"Berufe in der Bekleidungs-, Hut- und Mützenherstellung","Berufe in der Bekleidungs-, Hut- und Mützenherstellung - fachlich ausgerichtete Tätigkeiten",525,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Krcditgeschäftsinbab.,,B 72194-528,B,,72194,"Unternehmensorganisation, Buchhaltung, Recht und Verwaltung","Berufe in Finanzdienstleistungen, Rechnungswesen und Steuerberatung",Versicherungs- und Finanzdienstleistungen,Führungskräfte - Versicherungs- und Finanzdienstleistungen,Führungskräfte - Versicherungs- und Finanzdienstleistungen,528,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Krcisarchivarswe.,,B 73314-504,B,Amtsarchivar/in,73314,"Unternehmensorganisation, Buchhaltung, Recht und Verwaltung",Berufe in Recht und Verwaltung,"Medien-, Dokumentations- und Informationsdienste",Berufe im Archivwesen,Berufe im Archivwesen - hoch komplexe Tätigkeiten,504,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Kreisarchio-Assistent,,B 73312-512,B,,73312,"Unternehmensorganisation, Buchhaltung, Recht und Verwaltung",Berufe in Recht und Verwaltung,"Medien-, Dokumentations- und Informationsdienste",Berufe im Archivwesen,Berufe im Archivwesen - fachlich ausgerichtete Tätigkeiten,512,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Kreisarchivdieuer,,B 73312-501,B,Archivdiener/in,73312,"Unternehmensorganisation, Buchhaltung, Recht und Verwaltung",Berufe in Recht und Verwaltung,"Medien-, Dokumentations- und Informationsdienste",Berufe im Archivwesen,Berufe im Archivwesen - fachlich ausgerichtete Tätigkeiten,501,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Kreissäger,,B 22322-151,B,Kreissägeführer/in,22322,"Rohstoffgewinnung, Produktion und Fertigung","Kunststoffherstellung und -verarbeitung, Holzbe- und -verarbeitung",Holzbe- und -verarbeitung,Berufe in der Produktion von Holzwerkstoffen und -bauteilen,Berufe in der Produktion von Holzwerkstoffen und -bauteilen - fachlich ausgerichtete Tätigkeiten,151,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Kritscher,1,,,,,,,,,,,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Krplan,1,,,,,,,,,,,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Ksm,,B 62102-100,B,Kaufmann/-frau - Einzelhandel,62102,"Kaufmännische Dienstleistungen, Warenhandel, Vertrieb, Hotel und Tourismus",Verkaufsberufe,Verkauf ohne Produktspezialisierung,Berufe im Verkauf ohne Produktspezialisierung,Berufe im Verkauf (ohne Produktspezialisierung) - fachlich ausgerichtete Tätigkeiten,100,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Ksm.,,B 62102-100,B,Kaufmann/-frau - Einzelhandel,62102,"Kaufmännische Dienstleistungen, Warenhandel, Vertrieb, Hotel und Tourismus",Verkaufsberufe,Verkauf ohne Produktspezialisierung,Berufe im Verkauf ohne Produktspezialisierung,Berufe im Verkauf (ohne Produktspezialisierung) - fachlich ausgerichtete Tätigkeiten,100,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
ksm. Agent,,B 71302-502,B,Kaufhausarbeiter/in,71302,"Unternehmensorganisation, Buchhaltung, Recht und Verwaltung",Berufe in Unternehmensführung und -organisation,Unternehmensorganisation und -strategie,Berufe in der kaufmännischen und technischen Betriebswirtschaft ohne Spezialisierung,Berufe in der kaufmännischen und technischen Betriebswirtschaft (ohne Spezialisierung) - fachlich ausgerichtete Tätigk,502,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
ksm. Agent u. Kommissionär,,B 71302-502,B,Kaufhausarbeiter/in,71302,"Unternehmensorganisation, Buchhaltung, Recht und Verwaltung",Berufe in Unternehmensführung und -organisation,Unternehmensorganisation und -strategie,Berufe in der kaufmännischen und technischen Betriebswirtschaft ohne Spezialisierung,Berufe in der kaufmännischen und technischen Betriebswirtschaft (ohne Spezialisierung) - fachlich ausgerichtete Tätigk,502,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
ksm. Agentur- u. Kom-missionsgesch.,,B 71302-502,B,Kaufhausarbeiter/in,71302,"Unternehmensorganisation, Buchhaltung, Recht und Verwaltung",Berufe in Unternehmensführung und -organisation,Unternehmensorganisation und -strategie,Berufe in der kaufmännischen und technischen Betriebswirtschaft ohne Spezialisierung,Berufe in der kaufmännischen und technischen Betriebswirtschaft (ohne Spezialisierung) - fachlich ausgerichtete Tätigk,502,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
ksm. Beamter,,B 70002-504,B,Beamte/r,70002,"Unternehmensorganisation, Buchhaltung, Recht und Verwaltung",Berufe in Verwaltungen allgemein,Allgemeine Berufe in der Verwaltung (ohne Spezialisierung),Verwaltungsberufe ohne spezifisches Tätigkeitsprofil,Berufe in der Verwaltung (ohne Spezialisierung) - fachlich ausgerichtete Tätigkeiten,504,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Ksmsfr.,,B 62102-100,B,Kaufmann/-frau - Einzelhandel,62102,"Kaufmännische Dienstleistungen, Warenhandel, Vertrieb, Hotel und Tourismus",Verkaufsberufe,Verkauf ohne Produktspezialisierung,Berufe im Verkauf ohne Produktspezialisierung,Berufe im Verkauf (ohne Produktspezialisierung) - fachlich ausgerichtete Tätigkeiten,100,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
KsmSfr.,,B 62102-100,B,Kaufmann/-frau - Einzelhandel,62102,"Kaufmännische Dienstleistungen, Warenhandel, Vertrieb, Hotel und Tourismus",Verkaufsberufe,Verkauf ohne Produktspezialisierung,Berufe im Verkauf ohne Produktspezialisierung,Berufe im Verkauf (ohne Produktspezialisierung) - fachlich ausgerichtete Tätigkeiten,100,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Ksmsfr. u. Stellenvermittl.Bureauinh.,,B 62102-100,B,Kaufmann/-frau - Einzelhandel,62102,"Kaufmännische Dienstleistungen, Warenhandel, Vertrieb, Hotel und Tourismus",Verkaufsberufe,Verkauf ohne Produktspezialisierung,Berufe im Verkauf ohne Produktspezialisierung,Berufe im Verkauf (ohne Produktspezialisierung) - fachlich ausgerichtete Tätigkeiten,100,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Ksmssr.,,B 62102-100,B,Kaufmann/-frau - Einzelhandel,62102,"Kaufmännische Dienstleistungen, Warenhandel, Vertrieb, Hotel und Tourismus",Verkaufsberufe,Verkauf ohne Produktspezialisierung,Berufe im Verkauf ohne Produktspezialisierung,Berufe im Verkauf (ohne Produktspezialisierung) - fachlich ausgerichtete Tätigkeiten,100,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Ksmswc.,,B 62102-100,B,Kaufmann/-frau - Einzelhandel,62102,"Kaufmännische Dienstleistungen, Warenhandel, Vertrieb, Hotel und Tourismus",Verkaufsberufe,Verkauf ohne Produktspezialisierung,Berufe im Verkauf ohne Produktspezialisierung,Berufe im Verkauf (ohne Produktspezialisierung) - fachlich ausgerichtete Tätigkeiten,100,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Ksmswe.,,B 62102-100,B,Kaufmann/-frau - Einzelhandel,62102,"Kaufmännische Dienstleistungen, Warenhandel, Vertrieb, Hotel und Tourismus",Verkaufsberufe,Verkauf ohne Produktspezialisierung,Berufe im Verkauf ohne Produktspezialisierung,Berufe im Verkauf (ohne Produktspezialisierung) - fachlich ausgerichtete Tätigkeiten,100,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
KsmSwe.,,B 62102-100,B,Kaufmann/-frau - Einzelhandel,62102,"Kaufmännische Dienstleistungen, Warenhandel, Vertrieb, Hotel und Tourismus",Verkaufsberufe,Verkauf ohne Produktspezialisierung,Berufe im Verkauf ohne Produktspezialisierung,Berufe im Verkauf (ohne Produktspezialisierung) - fachlich ausgerichtete Tätigkeiten,100,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Ksni.,1,,,,,,,,,,,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Ksnlswe.,1,,,,,,,,,,,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Ksnr.,1,,,,,,,,,,,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Ksrn-,1,,,,,,,,,,,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
kstii Agent,,B 71302-502,B,Kaufhausarbeiter/in,71302,"Unternehmensorganisation, Buchhaltung, Recht und Verwaltung",Berufe in Unternehmensführung und -organisation,Unternehmensorganisation und -strategie,Berufe in der kaufmännischen und technischen Betriebswirtschaft ohne Spezialisierung,Berufe in der kaufmännischen und technischen Betriebswirtschaft (ohne Spezialisierung) - fachlich ausgerichtete Tätigk,502,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Kt'mswe,1,,,,,,,,,,,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Kteiderm.,,B 28222-547,B,Kleidermacher/in,28222,"Rohstoffgewinnung, Produktion und Fertigung",Textil- und Lederberufe,Textilverarbeitung,"Berufe in der Bekleidungs-, Hut- und Mützenherstellung","Berufe in der Bekleidungs-, Hut- und Mützenherstellung - fachlich ausgerichtete Tätigkeiten",547,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Ktilscher,1,,,,,,,,,,,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Küchenchef,,B 29394-100,B,Küchenchef/in,29394,"Rohstoffgewinnung, Produktion und Fertigung",Lebensmittelherstellung und -verarbeitung,Speisenzubereitung,Aufsichts- und Führungskräfte - Speisenzubereitung,Führungskräfte - Speisenzubereitung,100,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Küchenmeister,,B 29393-101,B,Küchenmeister/in,29393,"Rohstoffgewinnung, Produktion und Fertigung",Lebensmittelherstellung und -verarbeitung,Speisenzubereitung,Aufsichts- und Führungskräfte - Speisenzubereitung,Aufsichtskräfte - Speisenzubereitung,101,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Kückenmeisterswitwe,,B 29393-101,B,Küchenmeister/in,29393,"Rohstoffgewinnung, Produktion und Fertigung",Lebensmittelherstellung und -verarbeitung,Speisenzubereitung,Aufsichts- und Führungskräfte - Speisenzubereitung,Aufsichtskräfte - Speisenzubereitung,101,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Küfer,,B 22382-152,B,Küfer/in,22382,"Rohstoffgewinnung, Produktion und Fertigung","Kunststoffherstellung und -verarbeitung, Holzbe- und -verarbeitung",Holzbe- und -verarbeitung,Berufe in der Holzbe- und -verarbeitung sonstige spezifische Tätigkeitsangabe,Berufe in der Holzbe- und -verarbeitung (sonstige spezifische Tätigkeitsangabe) - fachlich ausgerichtete Tätigkeiten,152,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Kugler,,,,,,,,,,,,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
KuiEin.,1,,,,,,,,,,,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Kuifni,1,,,,,,,,,,,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Kuiiftmaler,,B 93323-100,B,Kunstmaler/in,93323,"Sprach-, Literatur-, Geistes-, Gesellschafts- und Wirtschaftswissenschaften, Medien, Kunst, Kultur und Gestaltung","Produktdesign und kunsthandwerkliche Berufe, bildende Kunst, Musikinstrumentenbau",Kunsthandwerk und bildende Kunst,Kunstmaler/innen und Zeichner/innen,Kunstmaler/innen und Zeichner/innen - komplexe Spezialistentätigkeiten,100,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Kulfcherswe.,1,,,,,,,,,,,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Kulicherswe.,1,,,,,,,,,,,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Kulschcrstve.,1,,,,,,,,,,,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Kultier,1,,,,,,,,,,,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Kultusbeamter,,B 83313-511,B,,83313,"Gesundheit, Soziales, Lehre und Erziehung","Erziehung, soziale und hauswirtschaftliche Berufe, Theologie",Theologie und Gemeindearbeit,Berufe in der Theologie,Berufe in der Theologie - komplexe Spezialistentätigkeiten,511,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Künhoft i-anzleigeh.,1,,,,,,,,,,,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Kunig.,1,,,,,,,,,,,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
KunslansiaUbef.,,B 94794-503,B,,94794,"Sprach-, Literatur-, Geistes-, Gesellschafts- und Wirtschaftswissenschaften, Medien, Kunst, Kultur und Gestaltung",Darstellende und unterhaltende Berufe,Museumstechnik und -management,Führungskräfte - Museum,Führungskräfte - Museum,503,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Kunst- n. Handclsgärni.Wwe.,,B 12142-500,B,Kunstgärtner/in,12142,"Land-, Forst- und Tierwirtschaft und Gartenbau",Gartenbauberufe und Floristik,Gartenbau,"Berufe im Garten-, Landschafts- und Sportplatzbau","Berufe im Garten-, Landschafts- und Sportplatzbau - fachlich ausgerichtete Tätigkeiten",500,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Kunst- u. Bauschlossermcister,,B 25194-502,B,Maschinenfabrikant/in - Unternehmer/in,25194,"Rohstoffgewinnung, Produktion und Fertigung",Maschinen- und Fahrzeugtechnikberufe,Maschinenbau- und Betriebstechnik,Aufsichts- und Führungskräfte - Maschinenbau- und Betriebstechnik,Führungskräfte - Maschinenbau- und Betriebstechnik,502,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Kunst- u. Handclsgärtn.,,B 12142-500,B,Kunstgärtner/in,12142,"Land-, Forst- und Tierwirtschaft und Gartenbau",Gartenbauberufe und Floristik,Gartenbau,"Berufe im Garten-, Landschafts- und Sportplatzbau","Berufe im Garten-, Landschafts- und Sportplatzbau - fachlich ausgerichtete Tätigkeiten",500,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Kunst- u. Handelsahrn^ rwitwe,,B 12142-500,B,Kunstgärtner/in,12142,"Land-, Forst- und Tierwirtschaft und Gartenbau",Gartenbauberufe und Floristik,Gartenbau,"Berufe im Garten-, Landschafts- und Sportplatzbau","Berufe im Garten-, Landschafts- und Sportplatzbau - fachlich ausgerichtete Tätigkeiten",500,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Kunst- u. Handelsgärt-nerswe.,,B 12142-500,B,Kunstgärtner/in,12142,"Land-, Forst- und Tierwirtschaft und Gartenbau",Gartenbauberufe und Floristik,Gartenbau,"Berufe im Garten-, Landschafts- und Sportplatzbau","Berufe im Garten-, Landschafts- und Sportplatzbau - fachlich ausgerichtete Tätigkeiten",500,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Kunst- u. Handelsgärtner,,B 12142-500,B,Kunstgärtner/in,12142,"Land-, Forst- und Tierwirtschaft und Gartenbau",Gartenbauberufe und Floristik,Gartenbau,"Berufe im Garten-, Landschafts- und Sportplatzbau","Berufe im Garten-, Landschafts- und Sportplatzbau - fachlich ausgerichtete Tätigkeiten",500,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Kunst- u. Handelsgärtuer,,B 12142-500,B,Kunstgärtner/in,12142,"Land-, Forst- und Tierwirtschaft und Gartenbau",Gartenbauberufe und Floristik,Gartenbau,"Berufe im Garten-, Landschafts- und Sportplatzbau","Berufe im Garten-, Landschafts- und Sportplatzbau - fachlich ausgerichtete Tätigkeiten",500,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Kunst- u. HandelsgÜrtner,,B 12142-500,B,Kunstgärtner/in,12142,"Land-, Forst- und Tierwirtschaft und Gartenbau",Gartenbauberufe und Floristik,Gartenbau,"Berufe im Garten-, Landschafts- und Sportplatzbau","Berufe im Garten-, Landschafts- und Sportplatzbau - fachlich ausgerichtete Tätigkeiten",500,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Kunst- und .Handelsgärtner,,B 12142-500,B,Kunstgärtner/in,12142,"Land-, Forst- und Tierwirtschaft und Gartenbau",Gartenbauberufe und Floristik,Gartenbau,"Berufe im Garten-, Landschafts- und Sportplatzbau","Berufe im Garten-, Landschafts- und Sportplatzbau - fachlich ausgerichtete Tätigkeiten",500,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
